[2025-01-26 06:59:47.188921 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.308811 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.314670 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 6
[2025-01-26 06:59:47.420880 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.444888 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.548980 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.554631 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 6
[2025-01-26 06:59:47.669123 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.709175 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:47.714904 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:47.821204 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.181060 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.187389 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:48.341023 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.445180 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.450795 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:48.549139 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.669086 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.675759 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:48.725018 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.731216 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:48.813251 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:48.837174 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:49.749202 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:49.755697 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:49.877223 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:49.973511 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:49.979587 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:50.069415 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.133583 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.245268 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.251279 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:50.325433 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.331153 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
